Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
eUZB6wb4wNUSIXuoP7vGIwFKdrAHi2hj7QTeg121d1E,2020-6-11,2,1159161882,1,0.000020092800000000002
yuhDu6Q9yy0sghObzy5BuJHHx3UESrg3t9qY8nBOztA,2020-6-11,2,1159161882,1,0.000020092800000000002
uIvVisBe289MK1VrZcR66OlyDB6Wc9pKFMH2jAflJIE,2020-6-11,2,1159150409,1,0.000012933648
L7JsaIR8xdy9HN0DWMTO4dQ44IbGNIXw5Lq0XlySMZo,2020-6-11,3,1159164716,2,0.000023864256
7p9aMGAFV_3HGSkMyGE0cx-ejxjwDPqULjsljYsCxUM,2020-6-11,2,1159161882,1,0.000020092800000000002
mQgukuHq2RNpwDy-Nk1m3uR6H8qJCBqeve6eTemQTvg,2020-6-11,2,1159161882,1,0.000020092800000000002
XuJXlSo2-uNPXG5Sr8M4bJMj5wZUtvAG0XezraQaUos,2020-6-11,2,1159150409,1,0.000012933648
RNpzWhPjxiX-HyD60W3yBxfmfM4BAdhGbtNH4pJZ_M8,2020-6-11,2,1159161882,1,0.000020092800000000002
mFaUiLiXmZsv9Yr51PvnGbudkugY8xfgTOXj7z0eM1k,2020-6-11,2,1159150409,1,0.000012933648
l0e1Hjp0P3Ypi0SpIXDHmkikzrhMeKXRHsg1lXSWiMM,2021-3-27,12,573456,12,0.000381873024
mKBIEh6tiP1U3nAbItOFj54uTvL7MOM_VW2Z1tOfPsI,2020-6-11,2,1159150409,1,0.000012933648
DQOzcoxpmG8bA0lZGowifypF1t37ml_1b6T1m4PMaOw,2020-6-11,3,1159176189,2,0.000031023408
8dAHS-NY4abqKi5vZYI_HM7gkl5nz9BPsq5dpm6mc7E,2020-6-11,3,1159176189,2,0.000031023408
8bScMlcP5mRmvb1x4KZ0TwOoHk_FjI_Fq1nsOmx21YA,2021-3-27,10,17233,10,0.000030783792
c7yXEMfyZQLJIja4J1yrrCS4AwLPTtBjlE2gyNZjPZ0,2019-3-30,183,13083994,183,0.008530968575999996
m3okBDWDaNJ4uxpwDWS38nW1p3NW2gs9OY0b993IzkI,2021-3-25,35,327479,35,0.000275431695
cIkHvfF4MGLOtzcjP372fW_u3eyeG_r-BK9qCpzLbBk,2020-6-11,2,1159150409,1,0.000012933648
K9q89jRE_W4wVMONqmS_IpdI8V1c11iCoqG1rjivQvw,2020-6-11,2,1159161882,1,0.000020092800000000002
EcoIfKTLPr8QGWwRt5J8YswSvTAVHgVC8SMUxFKmRCs,2020-6-11,2,1159161882,1,0.000020092800000000002
CX6tWonstEVE3C02PUVNnSMdW67Wd0KRgPfw-JN5uRo,2020-6-11,2,1159161882,1,0.000020092800000000002
iDTIbSXab8ek19lDKWkAqXTLqwaqY80CTpWu5kdbRxo,2020-6-11,2,1159150409,1,0.000012933648
dZN4uqbMTBvGZHmRuy6diFQaBdrnADFqPsIHYoS3w8Q,2020-6-11,2,1159150409,1,0.000012933648
SJhvmVuyHSsSwgaaJPc16Qmzumfw5952m8tPn4VnybQ,2020-6-11,2,1159161882,1,0.000020092800000000002
gZ-OtNiHxbMgPTWsGGwM-2_XUYYh7plY-7VtkUAyWiA,2021-3-9,3,1124557857,2,0.000019231209
dKSbZ75xFqBFp19ix755njwc1eZvHS2B1LHhY0Lvnxs,2021-2-9,68,18767110,68,0.011932628994
yorIck6hBmGyGikcJtnM9ZrKDGz1qMVXFQ81aXe_gTE,2020-6-11,2,1159150409,1,0.000012933648
LnNQjcqCazckGLuQR2fL9-TGmdyfA6n-e65uZ2nCEpo,2020-6-11,3,1159164716,1,0.000023956040000000002
jggbPy_tRIo8dh-HpJ5IhDgpPpCNLCzMluUuvwJxAAw,2021-3-22,3,1181776670,2,0.017506770645000003
EoxjjVNHK1zkzMxQosiIb5Jliwc44nJ-6hmAhLTeRs0,2020-6-11,3,1159164716,2,0.000023956040000000002
ldgYr0LOL9YyZfxu0TavViFSnxjNQc-QsswPuAFkreY,2020-6-11,3,1159187662,2,0.000038329415999999996
hERPDpwxs9lymClBrlOG0NXtl1pAitAzZ9IZDm4cc6g,2020-6-11,3,1159187662,1,0.000038329415999999996
H3vmraJaKuxzAiYKRtkSEkuAuhmYbRtKGi-0FPvw12o,2020-6-11,2,1159161882,1,0.00002017008
j8-M1Q9-fbhh-epz8r1og6YaWku4Oex5hwV5N1UE6vc,2020-6-11,2,1159161882,1,0.00002017008
A2DhruTwPm10P3suS0FzQL1eO8tjEtFEct7roCkU6SM,2020-6-11,2,1159150409,1,0.000012983392
oi9hWdqU40dcUR1MaMnlDCMFLNZpD1HsOu8eYfUaOTM,2020-6-11,2,1159150409,1,0.000012983392
zMVzJ7-yKrmXBVw52r45dZtv_fGTIVGWDuq9Pg0e9PQ,2020-6-11,2,1159161882,1,0.00002017008
