Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
pjJQOyD5tloVzBdCr-asJIkGpN9vcKwUvO0tq0CPZZo,2021-3-18,1,12913,1,0.000010215532
3wGvWxB6gfYocFEv0A6sXWkg9r1SW9jrH-iEB_DCbLA,2021-3-18,1,51737,1,0.000034814419
7Fh9ZuYxpFvmrkRRQK1Xbu9gXJsaX5S8BlPPWu-gSts,2021-3-18,1,197894,1,0.000127419494
1IRhDcZJV_LLYXD58GNNuCdHyZUJFo-YPU-DPC2M0L8,2021-3-19,1,4515381,1,0.002862979257
pmTUpJy3rv1XWcxKQAtd7LaIdgwAYNLUJW6aA0acfrA,2021-3-12,1,3152,1,0.000004030963
yoV-lnOLi3YKh7cQkLxbdEvti3relLQJT_nfGv3_t80,2021-3-19,1,567103,1,0.000361350316
MEUMwN75MW4w6oYCnggyxDlHiXoU7-n8yN6_gq2TvmI,2021-2-19,1,659400,0,0.000459437299
MZN_kcDMHpGKP7JjgJxUuFsxF5l3dd9jOP6HYHChWoI,2021-3-18,2,1153268,2,0.000734778316
mI_YC_soB5d0PdHxv8FaVEULwNsKOVKCtN8TUanONT4,2021-3-18,1,62362,1,0.000041703792
qCARQIXOunoKvSbENX9i-ISdtk94xuDoocQiPIf6rAQ,2021-3-18,1,23835,1,0.00001720062
rsTx8Va6ky133Ewa-mZsMlRzeGgj5C200iNSW6XPDAI,2021-3-18,2,60296,2,0.000042431376
jvlgWOVeQwHZIimnswNQUe_CwKnodspFyY5HWc2M1jY,2021-3-6,1,56917,1,0.000038240772
yYVzfbLRPbdZjv1pRQ6WoHpqChkhZFv1trLnoEqcuns,2021-3-17,2,690844,2,0.000443459904
aoaJNC8NcKVfgwaUj6kyJi2hKrVGUsRHCGf8RhKnsic,2014-9-1,2,21630,1,0.000021055416
RnM2eNUqwDrLSxDcX2UY68jUKZhYoAOY8ysSeH7f7Gg,2020-12-30,4,1368169167,3,0.0017517990360000001
obZ0Zc9sA6tEYvPTR2IVEGHAxaUitpX-vV2aq_z2fPA,2021-2-22,3,104942071,2,0.06725566766800001
0wR4OTF4p-dtQUB3yGYG5QoG_37m8XyiK05yfRQYwh8,2021-3-11,1,5991796,1,0.003855987859
